Agency,State,DirectSharing,NVLS,2016Detections,2016Hits,2017Detections,2017Hits,2016To2017Detections,2016To2017Hits,AllTimeDetections,AllTimeHits,DataSharingLink,2016HitRatioReport,2017HitRatioReport,2016DetectionReport,2016HitReport,2017DetectionReport,2017HitReport,CombinedDetectionHit Data
Indiana State Police,IN,3,,"257,267","9,189","565,765","21,887","823,032","31,076",,,https://www.documentcloud.org/documents/4432197-Data-Sharing-Report-Indiana-State-Police.html,http://www.documentcloud.org/documents/4439313-Indiana-State-Police-Hit-Ratio-Report-2016.html,http://www.documentcloud.org/documents/4439314-Indiana-State-Police-Hit-Ratio-Report-2017.html,,,,,
Indianapolis Metropolitan Police Department,IN,46,Y,"4,404,156","106,046","3,186,291","75,380","7,590,447","181,426",,,https://www.documentcloud.org/documents/4501650-Data-Sharing-Report-Indianapolis-Metropolitan.html,https://www.documentcloud.org/documents/4559471-Indianapolis-Metropolitan-Police-Department-Hit.html,https://www.documentcloud.org/documents/4559472-Indianapolis-Metropolitan-Police-Department-Hit.html,,,,,
Irvine Police Department,CA,95,Y,"489,286",210,"544,828",283,"1,034,114",493,,,https://www.documentcloud.org/documents/4432198-Data-Sharing-Report-Irvine-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439305-Irvine-Police-Department-Hit-Ratio-Report-2016.html
Johnson County Sheriff's Office,KS,101,,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4501618-Data-Sharing-Report-Johnson-County-Sheriff.html,,,,,,,
Kansas City Police Department,MO,Not Provided,,"9,545,342","700,831","37,209,437","2,828,030","46,754,779","3,528,861",,,,,,,,,,http://www.documentcloud.org/documents/4439296-Kansas-City-Missouri-Police-Department-Untitled.html
Kennesaw Police Department,GA,273,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,"408,819","7,058",https://www.documentcloud.org/documents/4432199-Data-Sharing-Report-Kennesaw-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439297-Kennesaw-Police-Department-Hit-Ratio-Report-All.html
Killeen Police Department,TX,66,,n/a,n/a,"82,570",208,"82,570",208,,,https://www.documentcloud.org/documents/4432200-Data-Sharing-Report-Killeen-Police-Department.html,,http://www.documentcloud.org/documents/4439306-Killeen-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Kings Point Police Department,NY,Not Provided,,"12,404,351","43,843","12,072,050","36,157","24,476,401","80,000",,,,,,,,,,https://www.eff.org/document/kings-point-police-department-alpr-statistics
La Habra Police Department,CA,156,Y,"193,278",85,"357,183",175,"550,461",260,,,https://www.documentcloud.org/documents/4559235-Data-Sharing-Report-La-Habra-Police-Department.html,https://www.documentcloud.org/documents/4755266-La-Habra-Police-Department-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4560283-La-Habra-Police-Department-Hit-Ratio-Report-2017.html,,,,,
La Mesa Police Department,CA,60,Y,n/a,n/a,"217,076",125,"217,076",125,,,https://www.documentcloud.org/documents/4432201-Data-Sharing-Report-La-Mesa-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439292-La-Mesa-Police-Department-Hot-List-Report-2017.html
La Palma Police Department,CA,28,Y,n/a,n/a,n/a,n/a,0,0,,,https://www.documentcloud.org/documents/4559249-Data-Sharing-Report-La-Palma-Police-Department.html,,,,,,,
La Verne Police Department,CA,137,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4802035-Data-Sharing-Report-La-Verne-Police-Department.html,,,,,,,
Lafayette Police Department,LA,814,Y,Not Provided,Not Provided,Not Provided,42,Not Provided,42*,,,https://www.documentcloud.org/documents/4432202-Data-Sharing-Report-Lafayette-Police-Department.html,,,,,,https://www.documentcloud.org/documents/4857817-Lafayette-Police-Department-Hits-2017.html,
Laguna Beach Police Department,CA,34,Y,"25,431,433","24,467","23,277,749","19,908","48,709,182","44,375",,,https://www.documentcloud.org/documents/4559253-Data-Sharing-Report-Laguna-Beach-Police-Department.html,https://www.documentcloud.org/documents/4560273-Laguna-Beach-Police-Department-Hit-Ratio-Report.html,https://www.documentcloud.org/documents/4560274-Laguna-Beach-Police-Department-Hit-Ratio-Report.html,,,,,
