RefNo,Agency,City,County,State,LEAType,JurisdictionType,TechnologyType,Vendor,Summary,PrimaryLink,ArchivedPrimaryLink,DocumentType,Source,DocumentDate,,AdditionalLink1,AdditionalLink2,AdditionalLink3,ArchivedAdditionalLink1,AdditionalArchivedLink2,AdditionalArchivedLink3,,,,,,,
TXCAM008,South Padre Island Police Department,South Padre Island,Cameron County,TX,Police,Municipal,Drones,Yuneec,"The South Padre Island Police Department deploys Yuneec Typhoon Q500 drones with high-resolution cameras. These drones are mainly used to monitor big crowds during school breaks at beaches, but they can be used for other tasks like helping with fires, or dropping off life jackets to people.",https://www.washingtonpost.com/news/innovations/wp/2016/03/09/the-latest-policing-tool-to-monitor-rowdy-spring-breakers-drones/?noredirect=on,http://web.archive.org/web/20190820225816/https://www.washingtonpost.com/news/innovations/wp/2016/03/09/the-latest-policing-tool-to-monitor-rowdy-spring-breakers-drones/?utm_term=.b00729a5a1dc,New Article,The Washington Post,3/9/2016,,https://www.portisabelsouthpadre.com/2016/02/05/city-approves-drone-program/,,,http://web.archive.org/web/20190820224244/https://www.portisabelsouthpadre.com/2016/02/05/city-approves-drone-program/,,,,,,,,,
TXCAM014,Texas Department of Public Safety,Brownsville,Cameron County,TX,State agency ,Statewide,Spy Plane,,"As part of a program called Operation Secure Texas, the Texas Department of Public Safety (DPS) has spent more than $15 million on two high altitude surveillance planes that flight at more than two miles above the Earth. The Texas Observer found that from January 2015 to July 2017 DPS flew these planes above Cameron County at least 10 times. ",https://www.texasobserver.org/tracking-dps-across-the-sky/,http://web.archive.org/web/20190909221114/https://www.texasobserver.org/tracking-dps-across-the-sky/,New Article,Texas Observer,5/23/2018,,https://www.texasobserver.org/planes/,,,https://web.archive.org/web/20190905230652/https://www.texasobserver.org/planes/,,,,,,,,,
TXELP014,Drug Enforcement Administration,El Paso,El Paso County,TX,Federal agency,Federal,Cell-site Simulators,Harris Corp.,"According to records obtained by the ACLU, the Drug Enforcement Administration El Paso Division purchased $412,871 in cell-site simulator equipment from Harris Corporation in 2013, ""including upgrading three Stingray I and Stingray II cell site simulators used by its El Paso and Albuquerque offices to the newer Hailstorm model.""",https://www.aclu.org/blog/privacy-technology/surveillance-technologies/aclu-releases-new-foia-documents-aerial-cell-phone,https://web.archive.org/web/20181208065749/https://www.aclu.org/blog/privacy-technology/surveillance-technologies/aclu-releases-new-foia-documents-aerial-cell-phone,New Article,ACLU,3/17/2017,,,,,,,,,,,,,,
TXELP012,Drug Enforcement Administration: El Paso Intelligence Center,El Paso,El Paso County,TX,Federal agency,Federal,Automated License Plate Readers,,"The Drug Enforcement Administration operates automated license plate readers across California, Arizona, New Mexico, and Texas. According to document obtained by the ACLU, ""any federal, state, or local law enforcement agent vetted by the DEA’s El Paso Intelligence Center can conduct queries of the database."" EPIC also operates a 24-hour ""LPR Watch."" As of 2015, the DEA's system includes 53 fixed cameras, 24 barrel cameras, and 47 license plate reader trailers distributed in 12 locations in East Texas, 21 location in West Texas and New Mexico, 6 locations in Arizona, and 6 locations in California.",https://www.aclu.org/blog/free-future/foia-documents-reveal-massive-dea-program-record-americans-whereabouts-license,https://web.archive.org/web/20190503080424/https://www.aclu.org/blog/free-future/foia-documents-reveal-massive-dea-program-record-americans-whereabouts-license,New Article,ACLU,1/26/2015,,,,,,,,,,,,,,
TXELP002,El Paso County Sheriff's Office,El Paso,El Paso County,TX,Sheriff,County,Body-worn Cameras,Axon,"As of 2017, the El Paso County Sheriff's Office had 250 body-worn cameras. ",https://www.govtech.com/public-safety/Police-Union-Pushes-Back-on-Body-Cameras-in-El-Paso-Texas.html,http://web.archive.org/web/20190820224426/https://www.govtech.com/public-safety/Police-Union-Pushes-Back-on-Body-Cameras-in-El-Paso-Texas.html,New Article,El Paso Times,12/11/2017,,https://cbs4local.com/news/local/law-enforcement-body-cameras-to-provide-better-accountability,,,http://web.archive.org/web/20190820225844/https://cbs4local.com/news/local/law-enforcement-body-cameras-to-provide-better-accountability,,,,,,,,,
TXELP006,El Paso County Sheriff's Office,El Paso,El Paso County,TX,Sheriff,County,Iris scanning,Bi2 Techonologies,The El Paso County Sheriff's Office uses Bi2 Technologies iris scanning devices to document and identify jail inmates.,https://www.kvia.com/news/el-paso/sheriffs-office-unveils-iris-scanner-for-inmates/545881235,http://web.archive.org/web/20170617022822/http://www.kvia.com/news/el-paso/sheriffs-office-unveils-iris-scanner-for-inmates/545881235,New Article,KVIA,6/16/2017,,,,,,,,,,,,,,
TXELP013,El Paso ISD Police Department,El Paso,El Paso County,TX,Police,School District,Body-worn Cameras,,"As of December 2015, the El Paso Independent School District equipped all 43 of its officers with body-worn cameras.",https://www.govtech.com/data/School-District-Police-Body-Cameras-Requires-Delicate-Balance.html,https://web.archive.org/web/20190903150522/https://www.govtech.com/data/School-District-Police-Body-Cameras-Requires-Delicate-Balance.html,New Article,El Paso Times,4/25/2016,,,,,,,,,,,,,,
TXELP008,El Paso Police Department,El Paso,El Paso County,TX,Police,Municipal,Automated License Plate Readers/Surveillance Trailer,Skycop,"According to the Texas A&M Transportation Institute: ""The El Paso Police Department has used ALPR since 2006, and currently operates 23 mobile units with ALPR.  Besides the mobile units, the El Paso Police also own six ALPR‐equipped trailers that can be parked alongside a roadway. The trailers include a radar system and 'your speed is' display that faces approaching traffic, while the ALPR camera is positioned on the opposite side to read rear license plates as vehicles pass it."" ",https://static.tti.tamu.edu/tti.tamu.edu/documents/TTI-2012-7.pdf,http://web.archive.org/web/20190820224441/https://static.tti.tamu.edu/tti.tamu.edu/documents/TTI-2012-7.pdf,Research document,Texas A&M Transportation Institute,,,http://legacy.elpasotexas.gov/muni_clerk/agenda/06-23-09/06230909B.pdf,,,http://web.archive.org/web/20190820225852/http://legacy.elpasotexas.gov/muni_clerk/agenda/06-23-09/06230909B.pdf,,,,,,,,,
TXELP007,El Paso Police Department,El Paso,El Paso County,TX,Police,Municipal,Body-worn Cameras,WatchGuard,"The El Paso Police Department has 34 body-worn cameras: 17 cameras are worn by crisis intervention team, 17 cameras are worn by  the DWI Task Force. ",https://www.documentcloud.org/documents/6379743-El-Paso-Police-BWC.html,https://www.documentcloud.org/documents/6379743-El-Paso-Police-BWC.html,Info on a government website,El Paso Police Department,4/30/2019,,,,,,,,,,,,,,
TXELP019,El Paso Police Department,El Paso,El Paso County,TX,Police,Municipal,Camera Registry,,The El Paso Police Department encourages residents to register their private surveillance cameras with the city. ,https://www.elpasotexas.gov/police-department/community-policing/camera-registration,https://web.archive.org/web/20190906213317/https://www.elpasotexas.gov/police-department/community-policing/camera-registration,Info on a government website,El Paso Police Department,,,,,,,,,,,,,,,
TXELP011,El Paso Police Department,El Paso,El Paso County,TX,Police,Municipal,Drones,,"As of 2018, the El Paso Police Department's Unmanned Aerial System Unit had four certified pilots and four drones. ",https://www.elpasotexas.gov/~/media/files/coep/police%20department/annual%20reports/2018%20annual%20report_/2018%20annual%20report_.ashx?la=en,http://web.archive.org/web/20190820224729/https://www.elpasotexas.gov/~/media/files/coep/police%20department/annual%20reports/2018%20annual%20report_/2018%20annual%20report_.ashx?la=en,Info on a government website,El Paso Police Department,2018,,,,,,,,,,,,,,
TXELP004,El Paso Police Department,El Paso,El Paso County,TX,Police,County,Fusion Center,,The Multi Agency Tactical Response Information eXchange (MATRIX) is the regional fusion center based in El Paso. It coordinates intelligence and records sharing across 20 public safety agencies in El Paso County and Doña Ana County. ,https://www.elpasotexas.gov/police-department/fusion-center,http://web.archive.org/web/20190820224428/https://www.elpasotexas.gov/police-department/fusion-center,Info on a government website,El Paso Police Department,2019,,,,,,,,,,,,,,
TXELP009,Horizon City Police Department,Horizon City,El Paso County,TX,Police,Municipal,Automated License Plate Readers,,"According to the Texas A&M Transportation Institute: ""Horizon City has one ALPR‐equipped patrol car in its 20‐vehicle police fleet."" License plate scans are shared with the El Paso Police Department's ALPR database. ",https://static.tti.tamu.edu/tti.tamu.edu/documents/TTI-2012-7.pdf,http://web.archive.org/web/20190820224441/https://static.tti.tamu.edu/tti.tamu.edu/documents/TTI-2012-7.pdf,Research document,Texas A&M Transportation Institute,,,,,,,,,,,,,,,
TXELP015,Horizon City Police Department,Horizon City,El Paso County,TX,Police,Municipal,Body-worn Cameras,,The Horizon City Police Department began its body-worn camera program in around 2012.,https://www.govtech.com/public-safety/Police-Union-Pushes-Back-on-Body-Cameras-in-El-Paso-Texas.html,http://web.archive.org/web/20190820224426/https://www.govtech.com/public-safety/Police-Union-Pushes-Back-on-Body-Cameras-in-El-Paso-Texas.html,New Article,El Paso Times,12/11/2017,,,,,,,,,,,,,,
TXELP016,Texas Department of Public Safety,El Paso,El Paso County,TX,State,Statewide,Spy Plane,,"As part of a program called Operation Secure Texas, the Texas Department of Public Safety (DPS) has spent more than $15 million on two high altitude surveillance planes that flight at more than two miles above the Earth. The Texas Observer found that from January 2015 to July 2017 DPS flew these planes above El Paso County at least six times for purposes such as patroling the border and to transfer an inmate accused of murder.",https://www.texasobserver.org/tracking-dps-across-the-sky/,http://web.archive.org/web/20190909221114/https://www.texasobserver.org/tracking-dps-across-the-sky/,New Article,Texas Observer,5/23/2018,,https://www.texasobserver.org/planes/,,,https://web.archive.org/web/20190905230652/https://www.texasobserver.org/planes/,,,,,,,,,
TXELP017,U.S. Border Patrol: El Paso Sector,El Paso,El Paso County,TX,Federal agency,Federal,Integrated Fixed Towers,Elbit Systems of America,"An Integrated Fixed Tower System (IFT) consists of radars and cameras mounted on stationary towers.  A 2018 U.S. Patrol presentation indicates that 28 IFTs are located in the El Paso sector, which includes all of New Mexico. ",https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,Government Document,U.S. Border Patrol,10/15/2018,,https://www.gao.gov/assets/690/688666.pdf,,,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,,,,,,,,,
TXELP010,U.S. Border Patrol: El Paso Sector,El Paso,El Paso County,TX,Federal agency,Federal,Mobile Surveillance Vehicle,,"A Mobile Surveillance Capability (MSC) system consists of radar and cameras mounted 25 feet high on a truck, with a display within the cab of the truck U.S. Border Patrol deploys these trucks in the El Paso sector, which includes all of New Mexico. ",https://www.gao.gov/assets/690/688666.pdf,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,Government Report,Government Accountability Office,2017,,,,,,,,,,,,,,
TXELP018,U.S. Border Patrol: El Paso Sector,El Paso,El Paso County,TX,Federal agency,Federal,Remote Video Surveillance Systems,,"A Remote Video Surveillance System (RVSS) system consists of daylight and infrared cameras mounted on poles, towers, or buildings. A 2018 U.S. Patrol presentation indicates that there are 69 RVSS located in the El Paso sector, which includes all of New Mexico. ",https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,Government Document,U.S. Border Patrol,10/15/2018,,https://www.gao.gov/assets/690/688666.pdf,,,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,,,,,,,,,
TXELP020,Customs and Border Protection ,El Paso,El Paso County ,TX,Federal Agency,Federal,Surveillance Towers,Anduril ,"Anduril is currently working on a new ""Sentry Tower"" pilot program with Customs and Border Protection (CBP). The San Diego program began with only four towers in the agency’s San Diego Sector and expanded over time to 14.",https://www.thedailybeast.com/anduril-palmer-luckeys-secretive-defense-company-is-booming-under-trump,https://web.archive.org/web/20191019005505/https://www.thedailybeast.com/anduril-palmer-luckeys-secretive-defense-company-is-booming-under-trump,News Article ,Daily Beast,8/4/2019,,,,,,,,,,,,,,
TXHID035,Alamo Police Department,Alamo,Hidalgo County,TX,Police,Municipal,Body-worn Cameras,Axon,"Alamo Police Department received a $13,142 federal grant for body-worn cameras in 2016. As of 2019, APD personnel continued to received training on BWCs.",http://www.lrgvdc.org/downloads/policedpt/Alamo%20PD%20Training%20Schedule.pdf,https://web.archive.org/web/20191004221452/http://www.lrgvdc.org/downloads/policedpt/Alamo%20PD%20Training%20Schedule.pdf,PDF/Unintentional Public Record?,Lower Rio Grande Valley Development Council,9/1/2019,10/1/2019,https://external.ojp.usdoj.gov/selector/awardDetail?awardNumber=2016-DJ-BX-0190&fiscalYear=2016&applicationNumber=2016-H3736-TX-DJ&programOffice=BJA&po=All,https://web.archive.org/web/20191202174229/https://external.ojp.usdoj.gov/selector/awardDetail?awardNumber=2016-DJ-BX-0190&fiscalYear=2016&applicationNumber=2016-H3736-TX-DJ&programOffice=BJA&po=All,,,,,,,,,,,
TXHID029,Edinburg Police Department,Edinburg,Hidalgo County,TX,Police,Municipal,Automated License Plate Readers,Vigilant Solutions," EPD collects, shares and access ALPR data through Vigilant Solutions. In 2017, the agency collected 87,000 license plate scans. EPD's Skycop surveillance trailers also function as automated license plate readers. ",https://www.documentcloud.org/documents/4559398-Edinburgh-Police-Department-HIt-Ratio-Report-2017.html,https://www.documentcloud.org/documents/4559398-Edinburgh-Police-Department-HIt-Ratio-Report-2017.html,Public Records,EFF,6/11/2018,,http://www.documentcloud.org/documents/4502417-Data-Sharing-Report-Edinburgh-Police-Department.html ,http://agenda.hidalgocounty.us/docs/2018/CC/20180814_3169/65922_OPSG%20OO%20Texas%20Hidalgo%20FY16%20Frago%2017-RGVRGV-11-006%20V1%20%281%29.pdf,,http://www.documentcloud.org/documents/4502417-Data-Sharing-Report-Edinburgh-Police-Department.html ,https://web.archive.org/web/20190820224457/http://agenda.hidalgocounty.us/docs/2018/CC/20180814_3169/65922_OPSG%20OO%20Texas%20Hidalgo%20FY16%20Frago%2017-RGVRGV-11-006%20V1%20%281%29.pdf,,,,,,,,
TXHID031,Edinburg Police Department,Edinburg,Hidalgo County,TX,Police,Municipal,Automated License Plate Readers/Surveillance Trailer,Skycop,"Through Operation Stonegarden, the Edinburg Police Department purchased one  FLIR SkyCop (thermal vision) surveillance trailer for $69,584.30. In addition to video and audio, the cameras also function as automated license plate readers. ",http://agenda.hidalgocounty.us/docs/2018/CC/20180814_3169/65922_OPSG%20OO%20Texas%20Hidalgo%20FY16%20Frago%2017-RGVRGV-11-006%20V1%20%281%29.pdf,https://web.archive.org/web/20190820224457/http://agenda.hidalgocounty.us/docs/2018/CC/20180814_3169/65922_OPSG%20OO%20Texas%20Hidalgo%20FY16%20Frago%2017-RGVRGV-11-006%20V1%20%281%29.pdf,Public Records,Hidalgo County Meeting Minutes,6/11/2018,,,,,,,,,,,,,,
TXHID012,Edinburg Police Department,Edinburg,Hidalgo County,TX,Police,Municipal,Body-worn Cameras,Coban,"The Edinburg Police Department began its body-worn camera program in 2016, but had to replace its 17 cameras in 2017 due to battery life issues. ",https://valleycentral.com/news/local/edinburg-police-department-plans-to-replace-body-cameras-after-battery-problem,https://web.archive.org/web/20190903165259/https://valleycentral.com/news/local/edinburg-police-department-plans-to-replace-body-cameras-after-battery-problem,New Article,Valley Central,8/3/2016,,,,,,,,,,,Yes,,,
TXHID008,Hidalgo County Constables ,Pharr,Hidalgo County,TX,Sheriff,County,Camera Network,,Hidalgo County Precinct 2 Constables have installed a camera system in the Lower Rio Grande Valley to crack down on illegal dumping. ,https://www.kveo.com/news/local-news/hidalgo-county-cracking-down-on-illegal-dumping-with-surveillance-cameras/645465092,https://www.kveo.com/news/local-news/hidalgo-county-cracking-down-on-illegal-dumping-with-surveillance-cameras/645465092,New Article,KVEO,1/25/2017,,,,,,,,,,,,,,
TXHID034,Hidalgo County Sheriff's Office,Edinburg,Hidalgo County,TX,Sheriff,County,Automated License Plate Readers,Vigilant Solutions,"The Hidalgo County Sheriff's Office purchased 10 mobile automate license plate reader systems for $137,000",http://agenda.hidalgocounty.us:8085/agenda_publish.cfm?id=0&mt=ALL&get_month=6&get_year=2019&dsp=min&seq=3330,https://web.archive.org/web/20190903174149/http://agenda.hidalgocounty.us:8085/agenda_publish.cfm?id=0&mt=ALL&get_month=6&get_year=2019&dsp=min&seq=3330,Public Records,Hidalgo County meeting minutes,6/6/2019,,https://www.documentcloud.org/documents/6379899-Hidalgo-County-SO-Vigialnt-70539-Quote.html,,,https://www.documentcloud.org/documents/6379899-Hidalgo-County-SO-Vigialnt-70539-Quote.html,,,,,,,,,
TXHID022,Hidalgo County Sheriff's Office,Edinburg,Hidalgo County,TX,Sheriff,County,Automated License Plate Readers/Surveillance Trailer,SkyCop,"Through Operation Stonegarden, the Hidalgo County Sheriff's Office purchased two SkyCop surveillance trailers for $235,000. In addition to video and audio, the cameras also function as automated license plate readers. ",http://agenda.hidalgocounty.us/docs/2018/CC/20180814_3169/65922_OPSG%20OO%20Texas%20Hidalgo%20FY16%20Frago%2017-RGVRGV-11-006%20V1%20%281%29.pdf,http://web.archive.org/web/20190820224457/http://agenda.hidalgocounty.us/docs/2018/CC/20180814_3169/65922_OPSG%20OO%20Texas%20Hidalgo%20FY16%20Frago%2017-RGVRGV-11-006%20V1%20%281%29.pdf,Public Records,Hidalgo County Meeting Minutes,6/11/2018,,,,,,,,,,,,,,
TXHID005,Hidalgo County Sheriff's Office,Edinburg,Hidalgo County,TX,Sheriff,County,Camera Network,,"Hidalgo County Sheriff's Office operates eight mobile Sky Towers, which each contain multiple cameras that can live stream. ",https://www.wcctv.com/case-studies/hidalgo-county-sheriffs-office/,http://web.archive.org/web/20190820224447/https://www.wcctv.com/case-studies/hidalgo-county-sheriffs-office/,Company website or promotional materials,WCCTV,2019,,,,,,,,,,,,,,
TXHID017,Hidalgo County Sheriff's Office,Edinburg,Hidalgo County,TX,Sheriff,County,Drones,,"As of 2019, the Hidalgo County Sheriff's Office had six officers and investigators applying for drone pilot licenses. ",https://valleycentral.com/news/local/hidlago-county-sheriffs-office-adding-drones-to-policing,http://web.archive.org/web/20190820225046/https://valleycentral.com/news/local/hidlago-county-sheriffs-office-adding-drones-to-policing,New Article,Valley Central,6/6/2019,,,,,,,,,,,,,,
TXHID003,Hidalgo County Sheriff's Office,Edinburg,Hidalgo County,TX,Sheriff,County,Iris scanning,Bi2 Techonologies,The Hidalgo County Sheriff's Office uses Bi2 Technologies iris scanning devices to document and identify jail inmates.,https://www.kveo.com/news/local-news/sheriffs-office-implements-biometric-technologies-to-identify-offenders/1066123820,https://www.kveo.com/news/local-news/sheriffs-office-implements-biometric-technologies-to-identify-offenders/1066123820,New Article,KVEO,3/21/2018,,https://valleycentral.com/news/local/hidalgo-county-sheriffs-office-implements-biometric-technology-to-help-identify-criminals,,,http://web.archive.org/web/20190820224503/https://valleycentral.com/news/local/hidalgo-county-sheriffs-office-implements-biometric-technology-to-help-identify-criminals,,,,,,,,,
TXHID001,Hidalgo County Sheriff's Office,Edinburg,Hidalgo County,TX,Sheriff,County,Pole Cameras,,"Through Operation Stone Garden, the Hidalgo County Sheriff's Office purchased two pole cameras for $4,000. ",http://agenda.hidalgocounty.us/docs/2018/CC/20180814_3169/65922_OPSG%20OO%20Texas%20Hidalgo%20FY16%20Frago%2017-RGVRGV-11-006%20V1%20%281%29.pdf,http://web.archive.org/web/20190820224457/http://agenda.hidalgocounty.us/docs/2018/CC/20180814_3169/65922_OPSG%20OO%20Texas%20Hidalgo%20FY16%20Frago%2017-RGVRGV-11-006%20V1%20%281%29.pdf,Public Records,Hidalgo County Meeting Minutes,6/11/2018,,,,,,,,,,,,,,
TXHID032,Hidalgo Police Department,Hidalgo ,Hidalgo County,TX,Police,Municipal,Automated License Plate Readers/Surveillance Trailer,Skycop,"Through Operation Stonegarden, the Hidalgo Police Department purchased one SkyCop surveillance trailers for $79,000. In addition to video and audio, the cameras also function as automated license plate readers. ",http://agenda.hidalgocounty.us/docs/2018/CC/20180814_3169/65922_OPSG%20OO%20Texas%20Hidalgo%20FY16%20Frago%2017-RGVRGV-11-006%20V1%20%281%29.pdf,https://web.archive.org/web/20190820224457/http://agenda.hidalgocounty.us/docs/2018/CC/20180814_3169/65922_OPSG%20OO%20Texas%20Hidalgo%20FY16%20Frago%2017-RGVRGV-11-006%20V1%20%281%29.pdf,Public Records,Hidalgo County Meeting Minutes,6/12/2018,,,,,,,,,,,,,,
TXHID023,McAllen Police Department,McAllen,Hidalgo County,TX,Police,Municipal,Automated License Plate Readers,Wi4net,The City of McAllen installed 100 cameras in public parks and downtown areas. The cameras are capable of automated license plate recognition.,https://psc.apcointl.org/2010/08/24/city-of-mcallen-implements-citywide-surveillance-camera-system/,http://web.archive.org/web/20190820224458/https://psc.apcointl.org/2010/08/24/city-of-mcallen-implements-citywide-surveillance-camera-system/,New Article,PSC Online,8/24/2010,,,,,,,,,,,,,,
TXHID024,McAllen Police Department,McAllen,Hidalgo County,TX,Police,Municipal,Camera Network,Wi4net,The City of McAllen installed 100 cameras in public parks and downtown areas. The cameras are capable of automated license plate recognition.,https://psc.apcointl.org/2010/08/24/city-of-mcallen-implements-citywide-surveillance-camera-system/,http://web.archive.org/web/20190820224458/https://psc.apcointl.org/2010/08/24/city-of-mcallen-implements-citywide-surveillance-camera-system/,New Article,PSC Online,8/24/2010,,,,,,,,,,,,,,
TXHID025,McAllen Police Department,McAllen,Hidalgo County,TX,Police,Municipal,Camera Network,,"The new Tres Lagos ""smart home"" neighborhood has a extensive camera network that is monitored by the McAllen Police Department. Residents also have the ability to monitor ""entrances, streets, sidewalks, driveways, parks, and common areas.""",https://www.mcallen.net/news/item/2016/03/08/tres-lagos-breaks-ground-on-2-500-acre-master-planned-community-in-mcallen,https://web.archive.org/web/20190909220636/https://www.mcallen.net/news/item/2016/03/08/tres-lagos-breaks-ground-on-2-500-acre-master-planned-community-in-mcallen,Info on a government website,City of McAllen,3/8/2016,,,,,,,,,,,,,,
TXHID033,Pharr Police Department,Pharr,Hidalgo County,TX,Police,Municipal,Automated License Plate Readers/Surveillance Trailer,Skycop,"Through Operation Stonegarden, the Pharr Police Department purchased two SkyCop surveillance trailers for $110,500. In addition to video and audio, the cameras also function as automated license plate readers. ",http://agenda.hidalgocounty.us/docs/2018/CC/20180814_3169/65922_OPSG%20OO%20Texas%20Hidalgo%20FY16%20Frago%2017-RGVRGV-11-006%20V1%20%281%29.pdf,https://web.archive.org/web/20190820224457/http://agenda.hidalgocounty.us/docs/2018/CC/20180814_3169/65922_OPSG%20OO%20Texas%20Hidalgo%20FY16%20Frago%2017-RGVRGV-11-006%20V1%20%281%29.pdf,Public Records,Hidalgo County Meeting Minutes,6/14/2018,,,,,,,,,,,,,,
TXHID013,Pharr Police Department,Pharr,Hidalgo County,TX,Police,Municipal,Body-worn Cameras,,The Pharr Police Department outfitted all its officers with body-worn cameras in November 2016. ,https://www.brownsvilleherald.com/news/valley/pharr-pd-to-begin-wearing-cameras/article_544819c8-a6fc-11e6-ae0c-2f71859096e4.html,https://web.archive.org/web/*/https://www.brownsvilleherald.com/news/valley/pharr-pd-to-begin-wearing-cameras/article_544819c8-a6fc-11e6-ae0c-2f71859096e4.html,New Article,The Brownsville Herald,11/6/2016,,,,,,,,,,,no,,,
TXHID036,Texas Department of Public Safety,McAllen,Hidalgo County,TX,State agency ,Statewide,Predictive Policing,,"Serving counties along the Texas-Mexico border, the Texas Transnational Intelligence Center (TTIC) is a data center that does predictive intelligence analysis related to transnational crime.",https://www.dps.texas.gov/administration/crime_records/pages/ttic.htm,https://web.archive.org/web/20200109181821/https://www.dps.texas.gov/administration/crime_records/pages/ttic.htm,Info on a government website,Texas Department of Public Safety,,,https://www.kveo.com/news/local-news/groundbreaking-for-anti-gang-unit-in-mcallen/,https://web.archive.org/web/20200109183039/https://www.kveo.com/news/local-news/groundbreaking-for-anti-gang-unit-in-mcallen/,https://www.dps.texas.gov/administration/crime_records/pages/tticPrivacyPolicy.pdf,https://web.archive.org/web/20200109183657/https://www.dps.texas.gov/administration/crime_records/pages/tticPrivacyPolicy.pdf,,,,,,,,,
TXHID028,Texas Department of Public Safety,Mission,Hidalgo County,TX,State agency ,Statewide,Spy Plane,,"As part of a program called Operation Secure Texas, the Texas Department of Public Safety (DPS) has spent more than $15 million on two high altitude surveillance planes that flight at more than two miles above the Earth. The Texas Observer found that from January 2015 to July 2017, ""the planes flew over the city of Mission in Hidalgo County, home to the National Butterfly Center, 96 times.""",https://www.texasobserver.org/tracking-dps-across-the-sky/,http://web.archive.org/web/20190909221114/https://www.texasobserver.org/tracking-dps-across-the-sky/,New Article,Texas Observer,5/23/2018,,https://www.texasobserver.org/planes/,,,https://web.archive.org/web/20190905230652/https://www.texasobserver.org/planes/,,,,,,,,,
TXHID026,U.S. Border Patrol: McAllen Station,McAllen,Hidalgo County,TX,Federal agency,Federal,Tactical Aerostat,,"U.S. Border Patrol deploys six ""tactical aerostat"" systems in Texas, with two stationed near its McAllen Station. These surveillance balloons are similar to CBP's TARS system, except they are relocatable. The systems include radar surveillance equipment and infrared and high-resolution cameras",https://www.gao.gov/assets/690/682842.pdf,https://web.archive.org/web/20190906172159/https://www.gao.gov/assets/690/682842.pdf,Government Document,U.S. Government Accountability Office,2017,,https://www.cbp.gov/frontline/frontline-november-aerostats,,,https://web.archive.org/web/20190909220906/https://www.cbp.gov/frontline/frontline-november-aerostats,,,,,,,,,
TXHID027,U.S. Border Patrol: Weslaco Station,Weslaco,Hidalgo County,TX,Federal agency,Federal,Tactical Aerostat,,"U.S. Border Patrol deploys six ""tactical aerostat"" systems in Texas, with one stationed near its Weslaco Station. These surveillance balloons are similar to CBP's TARS system, except they are relocatable. The systems include radar surveillance equipment and infrared and high-resolution cameras",https://www.gao.gov/assets/690/682842.pdf,https://web.archive.org/web/20190906172159/https://www.gao.gov/assets/690/682842.pdf,Government Document,U.S. Government Accountability Office,2017,,https://www.cbp.gov/frontline/frontline-november-aerostats,,,https://web.archive.org/web/20190909220906/https://www.cbp.gov/frontline/frontline-november-aerostats,,,,,,,,,
TXHID037,Mission Police Department ,Mission ,Hidalgo County ,TX,Police ,Municipal ,Automated License Plate Readers,,"In 2016, the Mission Police Department received a $60,540 grant from the Texas Governor's Office to purchase automated license plate readers. A 2017 budget report confirmed the implementation of two ALPR systems for MPD's patrol bureau. ",https://missiontexas.us/wp-content/uploads/2015/06/MINUTES-9-26-16-COMPLETED-1.pdf,https://web.archive.org/web/20191011165911/https://missiontexas.us/wp-content/uploads/2015/06/MINUTES-9-26-16-COMPLETED-1.pdf,Public Record ,Mission City Council,9/26/2017,,,,,,,,,,,,,,
TXHID038,Mission Police Department ,Mission ,Hidalgo County ,TX,Police ,Municipal ,Body-worn Cameras,,"The Mission Police Department purchased 158 body-worn cameras in 2017 for $193,430, with the bulk of the funding coming from the Texas Governor's office. ",https://missiontexas.us/wp-content/uploads/2015/06/MINUTES-05-08-17-COMPLETED.pdf,https://web.archive.org/web/20191011171102/https://missiontexas.us/wp-content/uploads/2015/06/MINUTES-05-08-17-COMPLETED.pdf,Public Record,Mission City Council ,5/8/2017,,https://missiontexas.us/wp-content/uploads/2019/07/1-MINUTES-05-29-19.pdf,https://web.archive.org/web/20191011170140/https://missiontexas.us/wp-content/uploads/2019/07/1-MINUTES-05-29-19.pdf,https://missiontexas.us/wp-content/uploads/2018/05/FY2017-2018-Budget.pdf,https://web.archive.org/web/20191202172747/https://missiontexas.us/wp-content/uploads/2018/05/FY2017-2018-Budget.pdf,,,,,,,,,
