Ref,Agency,City,County,State,TypeofLEA,TypeofJuris,Technology,Vendor,Summary,Link1,Link1Source,Link1Date,Link1DateComment,Link1Type,Link2,Link2Source,Link2Date,Link2DateComment,Link2Type,Link3,Link3Source,Link3Date,Link3DateComment,Link3Type,OtherLinks
EDU183,"University of Florida, University Police Department",Gainesville,Alachua County,FL,Police,University,Body-worn Cameras,,"The University of Florida, University Police Department uses body-worn cameras, according to the Florida Department of Law Enforcement's 2019 Criminal Justice Agency Profile Report.",http://www.fdle.state.fl.us/CJSTC/Publications/CJAP/CJAP-2019/SP-Index.aspx,Florida Department of Law Enforcement,2019,,Government information,,,,,,,,,,,
EDU184,University of Georgia Police Department,Athens,Clarke County,GA,Police,University ,Automated License Plate Readers,,"The University of Georgia Police Department scanned 1,238,147 license plates with automated license plate readers in 2017. ",https://www.eff.org/pages/explore-alpr,Electronic Frontier Foundation,11/15/2018,,Nonprofit report,,,,,,,,,,,
EDU185,University of Georgia Police Department,Athens,Clarke County,GA,Police,University,Body-worn Cameras,,The University of Georgia Police Department have been using body-worn cameras since at least 2013.,https://www.redandblack.com/cops/inspired-by-ugapd-use-athens-police-to-wear-on-officer-cameras/article_ab7bfd66-63a3-11e4-bf66-001a4bcf6878.html,Red and Black,11/4/2014,,News article,https://www.ajc.com/news/local-education/college-police-departments-following-body-camera-trend/cguy278tYv1plj1PGiBePN/,AJC Atlanta News Now,11/4/2016,,News article,,,,,,
EDU186,University of Houston Parking and Transporation Services,Houston,Harris County,TX,Parking Enforcement,University ,Automated License Plate Readers,,University of Houston Parking and Transporation Services implemented automated license plate readers in 2018. ,https://issuu.com/thedailycougar/docs/volume_84_issue_1_8-15-2018/4,The Daily Cougar,8/14/2018,,News article,,,,,,,,,,,
EDU187,University of Houston Police Department,Houston,Harris County,TX,Police,University ,Body-worn Cameras,,The University of Houston Police Department uses body-worn cameras. ,http://thedailycougar.com/2018/08/15/uhpd-rifles-body-cameras/,The Daily Cougar,8/15/2018,,News article,https://uh.edu/office-of-finance/budget-office/plan-budget/fy16_plan_budget.pdf,University of Houston,7/8/1905,,University information,,,,,,
EDU188,University of Illinois at Chicago Police Department,Chicago,Cook County,IL,Police,University,Body-worn Cameras,,"As of 2019, the University of Illinois at Chicago Police Department has 75 body-worn cameras.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,Illinois Law Enforcement Training and Standards Board,2019,,Annual report,,,,,,,,,,,
EDU189,University of Illinois at Urbana-Champaign Police Department,Urbana,Champaign County,IL,Police,University,Body-worn Cameras,,"The University of Illinois at Urbana-Champaign Police Department implemented their body-worn camera program in August 2018. The Department uses 68 body-worn cameras, which are shared among 61 officers.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,Illinois Law Enforcement Training and Standards Board,2019,,Annual report,,,,,,,,,,,
EDU190,University of Illinois at Urbana-Champaign Police Department Parking Department,Urbana,Champaign County,IL,Parking Enforcement,University ,Automated License Plate Readers,Genetec,"The University of Illinois, Urbana-Champaign Parking Department uses Genetec automated license plate readers. ",https://parking.illinois.edu/license-plate-recognition/lpr-privacy-notice,"University of Illinois, Urbana-Champaign Parking Department",8/2/2016,,Policy,,,,,,,,,,,
EDU191,University of Iowa Department of Public Safety,Iowa City,Cedar County,IA,Police,University,Body-worn Cameras,Vievu,The University of Iowa Department of Public Safety began using Vievu body-worn cameras in 2011.,https://www.desmoinesregister.com/story/news/2015/02/13/ui-police-body-cameras-often-need-repairs/23388753/,Des Moines Register,2/13/2015,,News article,https://www.thegazette.com/2012/09/18/cop-cams-debut-at-university-of-iowa,The Gazette,9/18/2012,,News article,,,,,,
EDU192,University of Iowa Parking and Transportation,Iowa City,Johnson County,IA,Parking Enforcement,University ,Automated License Plate Readers,,University of Iowa Parking and Transportation uses automated license plate readers for parking enforcement.,https://transportation.uiowa.edu/content/september-18-2020-meeting,The University of Iowa Parking and Transportation,9/18/2020,,University information,,,,,,,,,,,
EDU193,University of Kansas Transportation Services Office,Lawrence,Douglas County,KS,Parking Enforcement,University ,Automated License Plate Readers,,The University of Kansas began using automated license plate readers for parking enforcement in 2015. ,https://www2.ljworld.com/news/2015/aug/17/ku-parking-going-paperless/,Lawrence Journal-World ,8/17/2015,,News article,,,,,,,,,,,
EDU194,University of Maryland Police Department,College Park,Prince George's County,MD,Police,University,Automated License Plate Readers,,"In 2018, the University of Maryland Police Department scanned 8,765,641 license plates using automated license plate readers.",https://www.documentcloud.org/documents/6146047-Maryland-State-Police-PS3-509-E-2019.html,Maryland House Judiciary Committee Disclosure,2/22/2019,,Government information,,,,,,https://marylandreporter.com/2019/12/10/maryland-uses-surveillance-data-to-track-motorists-traffic/,Capital News Service,12/10/2019,,News article,
EDU195,University of Maryland Police Department,College Park,Prince George's County,MD,Police,University,Camera Registry,Motorola Solutions,The University of Maryland Police Department maintains a voluntary registry of private and personal surveillance cameras through Motorola Solutions.,https://analytics-api.commandcentral.com/camera_registration#/agencies,Command Central,,,Vendor information,,,,,,,,,,,
EDU196,University of Maryland Police Department,College Park,Prince George's County,MD,Police,University,Gunshot Detection,ShotSpotter,The University of Maryland Police Department implemented ShotSpotter gunshot detection technology in 2015.,https://www.domesticpreparedness.com/preparedness/running-to-the-police-not-away-from-them/,DomesticPreparedness,10/7/2015,,News article,,,,,,,,,,,
EDU197,"University of Maryland, Baltimore Police Department",Baltimore,Baltimore County,MD,Police,University,Body-worn Cameras,,"The University of Maryland, Baltimore Police Department planned to launch its body-worn camera program by December 2019.",https://www.umaryland.edu/media/umb/public-safety/StrategicPlan_2019-2022_Final.pdf,"University of Maryland, Baltimore Police Department",,,Government information,,,,,,,,,,,
EDU198,"University of Maryland, Baltimore Police Department",Baltimore,,MD,Police,University,Camera Registry,Motorola Solutions,"The University of Maryland, Baltimore Police Department maintains a voluntary registry of private and personal surveillance cameras through Motorola Solutions.",https://analytics-api.commandcentral.com/camera_registration#/agencies,Command Central,,,Vendor information,,,,,,,,,,,
EDU199,"University of Massachusetts, Amherst Parking Services Enforcement",Amherst,Hampshire County,MA,Parking Enforcement,University,Automated License Plate Readers,,"The University of Massachusetts, Amherst began using automated license plate readers for parking enforcement in 2018.",https://www.umass.edu/transportation/license-plate-recognition,University of Massachusetts,7/12/1905,,Press release,,,,,,,,,,,
EDU200,University of Miami Police Department,Coral Gables,Miami-Dade County,FL,Police,University,Video Analytics,,"The University of Miami Police Department uses video analytics software combined with more than 1,300 cameras, according to the police chief's resume. ",https://www.chronicle.com/article/how-a-protest-at-the-u-of-miami-reignited-the-student-surveillance-debate?cid2=gen_login_refresh&cid=gen_sign_in,The Chronicle of Higher Education,10/16/2020,,News article,https://umpd.miami.edu/_assets/pdf/rivero-david-resume-2017.pdf,University of Miami,,,Resume,,,,,,
EDU201,University of Michigan Police Department,Ann Arbor,Washtenaw County,MI,Police,University,Body-worn Cameras,,"The U.S. Department of Justice awarded $52,500 to the University of Michigan Police Department in 2017 as part of the Bureau of Justice Assistance's body-worn camera grant program.",https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,U.S Department of Justice,2017,,Government information,,,,,,,,,,,
EDU202,University of Nebraska at Omaha Police Department,Omaha,Douglas County,NE,Police,University,Body-worn Cameras,,"The U.S. Department of Justice awarded $20,292 to the University of Nebraska at Omaha Police Department in 2016 as part of the Bureau of Justice Assistance's body-worn camera grant program.",https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,U.S Department of Justice,2016,,Government information,,,,,,,,,,,
EDU203,University of Nebraska-Lincoln Police Department,Lincoln,Lancaster County,NE,Police,University,Body-worn Cameras,,The University of Nebraska-Lincoln Police Department uses body-worn cameras.,https://journalstar.com/news/local/crime-and-courts/lancaster-county-commissioner-wants-sheriffs-office-to-get-body-cameras/article_152e8d46-14b9-50c1-a055-e9c76db07dd1.html,Lincoln Journal Star,6/4/2020,,News article,,,,,,,,,,,
EDU204,"University of Nevada, Las Vegas Police Services",Las Vegas,Clark County,NV,Police,University,Body-worn Cameras,,"The University of Nevada, Las Vegas Police Services began using body-worn cameras in August 2018. ","https://www.unlv.edu/news-story/coming-soon-body-worn-cameras-police-officers-campus
","University of Nevada, Las Vegas",8/13/2018,,Press release,https://www.facebook.com/UPDSouth/photos/2845165792193890,UPD Facebook page,1/29/2020,,Social media,,,,,,
EDU205,"University of Nevada, Reno Police Department",Reno,Washoe County,NV,Police,University,Body-worn Cameras,,"The University of Nevada, Reno Police Department has been using body-worn cameras since at least 2017. ",https://www.rgj.com/story/news/crime/2018/06/08/northern-nevada-law-enforcement-use-body-cams-starting-next-week/685524002/,Reno Gazette Journal,6/8/2018,,News article,,,,,,,,,,,
